ITS_seq_number	Kingdom	Phylum	Class	Order	Family	Genus	Species
reverse_FUN_ITS_1496	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Stagonosporopsis	Stagonosporopsis cucurbitacearum
reverse_FUN_ITS_1497	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Stagonosporopsis	Stagonosporopsis cucurbitacearum
reverse_FUN_ITS_1498	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	Pyrenochaeta sp. MUT 4378
reverse_FUN_ITS_1504	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	Pyrenochaeta sp. MUT 4378
reverse_FUN_ITS_1505	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	Pyrenochaeta sp. MUT 4378
reverse_FUN_ITS_1507	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata
reverse_FUN_ITS_1508	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
reverse_FUN_ITS_1509	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
reverse_FUN_ITS_1510	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
reverse_FUN_ITS_1511	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
reverse_FUN_ITS_1512	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
reverse_FUN_ITS_1513	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
reverse_FUN_ITS_1514	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
reverse_FUN_ITS_1515	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella bainieri
reverse_FUN_ITS_1516	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp.
reverse_FUN_ITS_1520	Eukaryota	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina sp.
reverse_FUN_ITS_1523	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium pullulans
reverse_FUN_ITS_1525	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae	Cephaliophora	Cephaliophora tropica
reverse_FUN_ITS_1528	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium roseopurpureum
reverse_FUN_ITS_1529	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium sumatraense
reverse_FUN_ITS_1530	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces lactosus
reverse_FUN_ITS_1531	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1532	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium glabrum
reverse_FUN_ITS_1535	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia aemulans
reverse_FUN_ITS_1536	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1537	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1538	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1539	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	Sporormiaceae sp.
reverse_FUN_ITS_1540	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1545	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium dominicanum
reverse_FUN_ITS_1546	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium pulvericola
reverse_FUN_ITS_1547	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium sphaerospermum
reverse_FUN_ITS_1548	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani
reverse_FUN_ITS_1550	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1568	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia sp. (in: Fungi)
reverse_FUN_ITS_1569	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia sp. (in: Fungi)
reverse_FUN_ITS_1570	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia sp. (in: Fungi)
reverse_FUN_ITS_1571	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1572	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1573	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1575	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1576	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1577	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1578	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1580	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1581	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
reverse_FUN_ITS_1582	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
reverse_FUN_ITS_1583	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	Sporormiaceae sp.
reverse_FUN_ITS_1584	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	Sporormiaceae sp.
reverse_FUN_ITS_1585	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Monodictys	Monodictys castaneae
reverse_FUN_ITS_1586	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	Sporormiaceae sp.
reverse_FUN_ITS_1587	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	Sporormiaceae sp.
reverse_FUN_ITS_1588	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	Sporormiaceae sp.
reverse_FUN_ITS_1589	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
reverse_FUN_ITS_1590	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1591	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1592	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
reverse_FUN_ITS_1593	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Monodictys castaneae
reverse_FUN_ITS_1594	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Monodictys	Monodictys castaneae
reverse_FUN_ITS_1595	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	Sporormiaceae sp.
reverse_FUN_ITS_1596	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1597	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1598	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1599	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
